mut1	0.22617970889144567	0	(1, 0)	5
mut11	0.12819990152883395	0	(2, 1)	1
mut14	0.13337383356519647	1	(1, 0)	6
mut31	0.20963290757428799	3	(2, 1)	4
mut32	0.13747838724655745	3	(1, 0)	0
mut36	0.12398460995930995	3	(1, 0)	5
mut37	0.1049997210171472	3	(2, 1)	6
mut49	0.08568342786097119	5	(1, 0)	8
mut51	0.07038906921440163	7	(1, 0)	8
mut60	0.0971974373967243	7	(2, 1)	7
mut67	0.0866109632124914	5	(2, 1)	4
mut69	0.06172998088084718	7	(1, 0)	5
mut73	0.06725173706100347	7	(2, 1)	1
mut74	0.07460197201442895	7	(2, 1)	6
mut81	0.06641226405417461	8	(2, 1)	1
mut84	0.12494244946970515	4	(1, 0)	7
mut86	0.05496810237341898	8	(2, 1)	4
mut90	0.10148017524033974	9	(1, 0)	8
mut92	0.022142727169611836	9	(2, 1)	1
mut93	0.051749081892750445	9	(2, 1)	8
