mut0	0.20928974570977216	0	(2, 1)	8
mut10	0.1900702349686857	0	(2, 1)	3
mut11	0.17848654487628884	0	(2, 1)	1
mut16	0.08983772220019197	1	(1, 0)	7
mut22	0.07218788369567482	2	(2, 1)	5
mut25	0.09683099515137326	2	(2, 1)	6
mut28	0.0658980719236083	2	(1, 0)	3
mut37	0.050841367609755356	3	(2, 1)	4
mut4	0.18546619440124296	0	(1, 0)	4
mut44	0.0802260164549277	3	(2, 1)	1
mut47	0.06234087507232311	4	(2, 1)	5
mut54	0.2337741164118687	6	(2, 1)	3
mut56	0.24319869453929055	5	(2, 1)	0
mut61	0.09377678391470659	6	(2, 1)	9
mut71	0.1853942103210181	6	(1, 0)	4
mut76	0.03783843174180512	6	(2, 1)	9
mut83	0.10898010601443893	7	(1, 0)	8
mut84	0.055559976421697826	8	(2, 1)	9
mut92	0.08484717795163538	4	(2, 1)	6
mut96	0.08612646745893263	9	(1, 0)	8
