mut14	0.10935880192312926	1	(2, 1)	0
mut15	0.13738010091782732	1	(2, 1)	9
mut27	0.08455462717906459	2	(2, 1)	6
mut33	0.18290596496591427	3	(2, 1)	8
mut37	0.1066836219285569	4	(2, 1)	6
mut42	0.11405941277260763	7	(2, 1)	7
mut46	0.09579657680843259	4	(1, 0)	7
mut50	0.08884493243400239	7	(2, 1)	2
mut51	0.07902853684176411	5	(1, 0)	7
mut53	0.079872043342558	5	(2, 1)	8
mut56	0.08330619826240343	9	(1, 0)	6
mut6	0.15245674086614813	0	(2, 1)	4
mut60	0.12408318200033729	4	(2, 1)	0
mut62	0.09790961323012615	6	(1, 0)	9
mut67	0.08147834428350874	6	(2, 1)	2
mut71	0.0584254308648698	7	(2, 1)	1
mut73	0.09120537382542596	7	(1, 0)	6
mut76	0.06737071421786392	9	(2, 1)	1
mut94	0.023853606084317705	9	(2, 1)	0
mut99	0.055518949831359285	9	(2, 1)	6
