mut0	0.27578758188095576	0	(1, 0)	5
mut14	0.06621794731099748	1	(2, 1)	9
mut15	0.2323713655248597	1	(2, 1)	6
mut27	0.13944508999271055	2	(1, 0)	5
mut29	0.09745329350940639	2	(2, 1)	5
mut3	0.17986348986320547	0	(2, 1)	4
mut38	0.2144003417384339	2	(2, 1)	7
mut44	0.08264471983605687	4	(2, 1)	0
mut5	0.13180449562820176	6	(1, 0)	1
mut62	0.13100188005823218	6	(1, 0)	0
mut63	0.06020848143524426	6	(2, 1)	0
mut69	0.06584566815663359	6	(2, 1)	4
mut70	0.041027832709041194	6	(2, 1)	3
mut73	0.05575186983250228	7	(2, 1)	4
mut80	0.04789688367738977	9	(2, 1)	9
mut88	0.059216307614089914	9	(2, 1)	0
mut9	0.1979171742657323	0	(2, 1)	6
mut91	0.04460001535446204	9	(2, 1)	2
mut94	0.15577792654098105	9	(1, 0)	5
mut95	0.04963734602486333	9	(1, 0)	2
