NODE_ID	PARENT_ID	SNV_IDS	SNV_ALLELES	CNA_IDS	CNA_CHANGES	SAMPLE_IDS	SAMPLE_NODE_FREQUENCIES
ROOT	NONE					MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0901,0.1001,0.1135,0.1262,0.1441,0.1477,0.0746,0.0692,0.0514,0.1051,0.0901,0.1168,0.1510,0.0535,0.0315,0.1714,0.0855,0.0575,0.0459,0.1069,0.1578,0.0333,0.0203,0.0918,0.1142,0.0477,0.2130,0.0597,0.0458,0.0009,0.1133,0.2157,0.0363,0.1445,0.0203,0.0105,0.0531,0.0594,0.1434,0.1044,0.0552
0	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6	M,M,M,M,M,M,M	cna_mut64,cna_mut66,cna_mut69	(1,0),(0,-1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0862,0.1437,0.0280,0.1149,0.1021,0.1870,0.0345,0.0511,0.0356,0.0617,0.1148,0.2171,0.0192,0.1014,0.1470,0.0978,0.1514,0.1191,0.1681,0.1261,0.1351,0.1820,0.1321,0.0889,0.0613,0.1599,0.2022,0.0923,0.0493,0.1287,0.0929,0.0162,0.0949,0.1307,0.1084,0.0907,0.1255,0.0726,0.1259,0.0355,0.1383
1	0	mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14,mut15,mut16	M,P,M,M,M,P,M,M,M,M	cna_mut49,cna_mut93	(0,-1),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0109,0.0875,0.0467,0.1087,0.0434,0.0119,0.1527,0.2540,0.0133,0.0795,0.1587,0.0099,0.0813,0.0665,0.0647,0.0001,0.0035,0.0220,0.1614,0.0625,0.1735,0.1981,0.1146,0.1339,0.1078,0.0733,0.2038,0.1322,0.0611,0.0296,0.2188,0.0758,0.0983,0.0100,0.0117,0.1150,0.0804,0.2230,0.0817,0.0416,0.1102
2	0	mut17,mut18,mut19,mut20,mut21,mut22,mut23,mut24,mut25,mut26,mut27	P,M,P,P,P,P,P,P,P,M,M	cna_mut8,cna_mut87,cna_mut43,cna_mut5	(1,0),(0,1),(0,1),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1460,0.1711,0.0819,0.0231,0.0451,0.0969,0.0853,0.1286,0.1085,0.0888,0.1396,0.1731,0.0562,0.1203,0.0159,0.0232,0.0635,0.0285,0.0005,0.0357,0.1055,0.0089,0.0419,0.1507,0.1359,0.1466,0.0168,0.1021,0.1515,0.1428,0.1366,0.0128,0.0797,0.1152,0.0244,0.1413,0.1537,0.0256,0.0314,0.1135,0.1557
3	2	mut28,mut29,mut30,mut31,mut32,mut33,mut34,mut35	P,P,M,P,M,M,M,P	cna_mut10,cna_mut40	(0,-1),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0489,0.0082,0.1679,0.1175,0.1367,0.1027,0.0636,0.2012,0.1487,0.1887,0.0095,0.0691,0.0780,0.0211,0.1520,0.0647,0.1604,0.1405,0.1251,0.1055,0.0637,0.1051,0.0803,0.0085,0.1335,0.1611,0.0085,0.0441,0.1094,0.0149,0.0407,0.1506,0.1314,0.1234,0.0766,0.1385,0.1770,0.0559,0.0785,0.0724,0.0407
4	3	mut36,mut37,mut38,mut39,mut40,mut41,mut42,mut43,mut44,mut45,mut46,mut47,mut48,mut49,mut50,mut51,mut52,mut53	P,P,M,M,M,P,P,P,M,M,P,P,P,M,P,M,M,M	cna_mut29,cna_mut60	(0,1),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0737,0.0194,0.0920,0.1248,0.1115,0.0080,0.1557,0.0709,0.2035,0.1121,0.0094,0.0959,0.0431,0.0149,0.1204,0.0532,0.1303,0.0202,0.1288,0.0806,0.0464,0.1068,0.1660,0.0447,0.1324,0.0081,0.0554,0.0983,0.0336,0.0496,0.0233,0.1134,0.0951,0.0401,0.2096,0.0898,0.1570,0.0271,0.0904,0.0844,0.1111
5	4	mut54,mut55,mut56,mut57,mut58,mut59,mut60,mut61,mut62,mut63,mut64,mut65,mut66,mut67	P,M,P,M,M,P,P,M,M,M,M,M,M,P	cna_mut0	(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1111,0.0612,0.0177,0.0730,0.0091,0.1160,0.1396,0.0119,0.0165,0.0640,0.0816,0.0067,0.1836,0.1244,0.0023,0.1716,0.0605,0.1118,0.1076,0.0828,0.0206,0.0475,0.2057,0.0429,0.0758,0.0270,0.0612,0.1136,0.0974,0.1335,0.0934,0.0834,0.0716,0.0707,0.1424,0.0064,0.0408,0.2027,0.1078,0.1290,0.1430
6	1	mut68,mut69,mut70,mut71,mut72,mut73,mut74,mut75	M,M,P,M,P,P,P,P			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1077,0.0803,0.0247,0.0258,0.1503,0.1076,0.1390,0.0877,0.0808,0.0873,0.0236,0.0059,0.0486,0.1758,0.0807,0.1385,0.1017,0.0116,0.0888,0.1027,0.0627,0.0257,0.0878,0.1215,0.0321,0.0799,0.0193,0.1217,0.1382,0.1878,0.0033,0.0228,0.0127,0.0277,0.0231,0.1149,0.0048,0.0824,0.1040,0.0897,0.0549
7	2	mut76,mut77,mut78,mut79,mut80	M,M,M,P,P	cna_mut75,cna_mut26,cna_mut81	(0,-1),(0,-1),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1384,0.1624,0.1594,0.1196,0.0284,0.0223,0.0347,0.0080,0.0397,0.0208,0.1488,0.0552,0.1009,0.0894,0.1589,0.0541,0.1138,0.1716,0.0022,0.0640,0.0670,0.1710,0.0856,0.1251,0.0609,0.0417,0.0292,0.0823,0.0975,0.0392,0.0370,0.2179,0.1808,0.0799,0.0847,0.0809,0.0081,0.0291,0.1259,0.1176,0.0656
8	5	mut81,mut82,mut83,mut84,mut85,mut86	P,P,P,M,P,M	cna_mut36	(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1415,0.1645,0.1842,0.0889,0.0559,0.1780,0.1038,0.0369,0.1856,0.0245,0.1835,0.0640,0.1691,0.0564,0.1068,0.0610,0.0199,0.1723,0.1029,0.0958,0.0266,0.0364,0.0330,0.1237,0.0364,0.1048,0.0728,0.0571,0.0976,0.1206,0.2267,0.0629,0.1032,0.1185,0.1828,0.1680,0.1229,0.1191,0.0718,0.0829,0.0759
