NODE_ID	PARENT_ID	SNV_IDS	SNV_ALLELES	CNA_IDS	CNA_CHANGES	SAMPLE_IDS	SAMPLE_NODE_FREQUENCIES
ROOT	NONE					MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0514,0.0994,0.0734,0.1191,0.2311,0.1527,0.1099,0.1801,0.0267,0.1594,0.1200,0.0441,0.1043,0.0090,0.1403,0.0967,0.0731,0.1494,0.1753,0.1253,0.1181,0.0783,0.0924,0.0253,0.0613,0.0562,0.1242,0.0562,0.1308,0.0051,0.0578,0.1148,0.0317,0.1742,0.1302,0.0735,0.1316,0.0754,0.0196,0.0354,0.1128
0	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8	M,M,M,P,M,M,M,P,P	cna_mut14,cna_mut94,cna_mut60	(1,0),(0,1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0938,0.1076,0.0944,0.1198,0.0621,0.0683,0.0422,0.1408,0.0438,0.1324,0.1208,0.0916,0.1112,0.1558,0.0464,0.1221,0.0996,0.0861,0.1682,0.0968,0.0203,0.0372,0.0246,0.0638,0.1712,0.0256,0.0956,0.1283,0.0628,0.0109,0.0967,0.0108,0.0287,0.0089,0.1100,0.1002,0.1314,0.0166,0.0983,0.0803,0.0636
1	0	mut9,mut10,mut11,mut12,mut13,mut14,mut15,mut16,mut17,mut18	M,M,P,M,M,M,M,M,M,M	cna_mut76,cna_mut71	(1,0),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0857,0.0831,0.1859,0.0707,0.0295,0.0216,0.1312,0.1198,0.0574,0.1347,0.1491,0.1079,0.0496,0.1559,0.1123,0.0279,0.0600,0.1033,0.1586,0.1845,0.1223,0.1292,0.0711,0.0279,0.0278,0.0790,0.0726,0.1117,0.0687,0.0058,0.1366,0.0430,0.1738,0.0597,0.1196,0.0027,0.1789,0.1462,0.0843,0.1818,0.1138
2	0	mut19,mut20,mut21,mut22,mut23,mut24,mut25,mut26,mut27	M,M,P,M,M,P,M,P,P	cna_mut50,cna_mut67	(1,0),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1346,0.0039,0.1608,0.1395,0.0154,0.1593,0.0205,0.0747,0.0631,0.0933,0.0926,0.0419,0.1483,0.0899,0.1154,0.0120,0.1153,0.0559,0.0332,0.1726,0.0825,0.0493,0.1616,0.1464,0.1217,0.0352,0.1306,0.1064,0.0472,0.1358,0.0079,0.0372,0.1886,0.1366,0.0618,0.1438,0.1341,0.1107,0.1441,0.1871,0.1364
3	2	mut28,mut29,mut30,mut31,mut32,mut33,mut34,mut35,mut36,mut37	P,P,M,M,P,M,P,M,P,M			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1162,0.1477,0.0011,0.1012,0.1033,0.0060,0.0903,0.0007,0.0740,0.0280,0.1006,0.0296,0.1444,0.0020,0.0958,0.0135,0.1267,0.0938,0.0037,0.0604,0.0915,0.0839,0.1488,0.0049,0.1821,0.1376,0.1729,0.0855,0.0924,0.1789,0.1216,0.1548,0.0355,0.0308,0.0637,0.2063,0.0042,0.0740,0.1692,0.1550,0.1333
4	0	mut38,mut39,mut40,mut41,mut42,mut43,mut44,mut45,mut46,mut47,mut48,mut49,mut50	P,M,M,P,M,P,P,M,M,P,P,M,P	cna_mut6	(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0449,0.0273,0.0049,0.1361,0.1351,0.1206,0.0535,0.1249,0.1160,0.0923,0.0108,0.0274,0.0148,0.0819,0.1583,0.1265,0.0955,0.1023,0.0217,0.1695,0.1197,0.1429,0.0699,0.1493,0.0300,0.1054,0.0654,0.0132,0.0544,0.1658,0.1153,0.0631,0.1742,0.1654,0.0604,0.1508,0.0282,0.0066,0.0281,0.0204,0.0664
5	4	mut51,mut52,mut53,mut54,mut55,mut56,mut57,mut58	M,P,P,P,M,P,M,P			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0617,0.1552,0.1195,0.0318,0.1240,0.0953,0.0115,0.0528,0.1255,0.0896,0.0945,0.1430,0.1629,0.1115,0.0365,0.0114,0.0196,0.0070,0.1685,0.0699,0.0395,0.1409,0.1044,0.1934,0.0148,0.1444,0.0116,0.1091,0.1143,0.1517,0.0320,0.1562,0.0119,0.1133,0.0999,0.0045,0.1145,0.0608,0.2183,0.0626,0.0440
6	3	mut59,mut60,mut61,mut62,mut63,mut64,mut65,mut66,mut67,mut68	M,M,M,M,M,P,P,P,P,M	cna_mut37,cna_mut56,cna_mut99,cna_mut73,cna_mut27	(0,1),(0,-1),(0,1),(-1,0),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0686,0.1181,0.0135,0.1581,0.1540,0.1118,0.1753,0.0526,0.1335,0.0344,0.0714,0.0505,0.0336,0.1468,0.0997,0.1138,0.1574,0.1190,0.1008,0.0190,0.0327,0.0003,0.1016,0.0165,0.0550,0.1161,0.0894,0.1221,0.0206,0.1318,0.1354,0.1293,0.1936,0.0556,0.1318,0.0431,0.0923,0.1626,0.0370,0.0396,0.0881
7	1	mut69,mut70,mut71,mut72,mut73,mut74,mut75,mut76,mut77,mut78,mut79,mut80	M,P,P,M,M,P,P,P,M,M,P,P	cna_mut51,cna_mut42,cna_mut46	(-1,0),(0,1),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1153,0.1565,0.1124,0.0689,0.1093,0.0865,0.1351,0.0410,0.0318,0.0314,0.0625,0.1595,0.0408,0.0461,0.0912,0.0612,0.0390,0.1142,0.0363,0.0129,0.1466,0.1618,0.0560,0.1337,0.0668,0.0594,0.1303,0.1208,0.1862,0.0176,0.1060,0.0965,0.0596,0.0861,0.0579,0.1291,0.0836,0.1483,0.0676,0.0194,0.1138
8	6	mut81,mut82,mut83,mut84,mut85,mut86,mut87,mut88,mut89,mut90,mut91	P,M,M,M,M,M,M,P,P,P,P	cna_mut33,cna_mut53	(0,1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1270,0.0022,0.1528,0.0012,0.0035,0.1133,0.1844,0.0232,0.1878,0.0444,0.1060,0.1510,0.1875,0.0447,0.0457,0.1992,0.1621,0.0143,0.0828,0.0460,0.0811,0.0339,0.1194,0.1399,0.1683,0.1366,0.0405,0.1247,0.1615,0.1305,0.1166,0.0679,0.0665,0.1368,0.0726,0.1408,0.0821,0.0459,0.0141,0.1423,0.0422
