NODE_ID	PARENT_ID	SNV_IDS	SNV_ALLELES	CNA_IDS	CNA_CHANGES	SAMPLE_IDS	SAMPLE_NODE_FREQUENCIES
ROOT	NONE					MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1403,0.0246,0.1651,0.1215,0.0805,0.1386,0.0472,0.1127,0.0564,0.0874,0.1090,0.1509,0.0286,0.1318,0.0012,0.1628,0.1480,0.0354,0.0338,0.0627,0.1140,0.0970,0.0983,0.1374,0.1651,0.0928,0.0794,0.1566,0.0481,0.0908,0.0272,0.0956,0.1308,0.1756,0.1297,0.1539,0.1633,0.1500,0.2200,0.1017,0.1582
0	ROOT	mut0,mut1,mut2,mut3,mut4,mut5	P,P,P,M,P,M	cna_mut15,cna_mut41,cna_mut13	(0,1),(0,1),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0347,0.0242,0.0419,0.0737,0.1247,0.0520,0.0697,0.1505,0.0997,0.0807,0.1150,0.0969,0.0776,0.0370,0.0142,0.0901,0.0450,0.1004,0.0970,0.0093,0.1592,0.0783,0.0144,0.0065,0.1140,0.0328,0.1593,0.0493,0.1846,0.1352,0.0814,0.1791,0.0047,0.1794,0.0531,0.1561,0.0141,0.0192,0.0967,0.1828,0.0794
1	0	mut6,mut7,mut8,mut9,mut10,mut11,mut12,mut13,mut14,mut15,mut16,mut17,mut18,mut19,mut20	P,M,P,P,P,P,M,P,P,P,M,M,M,M,P	cna_mut35	(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0079,0.1394,0.1769,0.1336,0.1358,0.0621,0.0046,0.1462,0.1829,0.1514,0.1370,0.0701,0.0234,0.1014,0.2030,0.0652,0.0046,0.1486,0.0072,0.1530,0.0743,0.0505,0.0672,0.0627,0.1102,0.1245,0.1315,0.1176,0.1150,0.0505,0.0639,0.1085,0.1436,0.0337,0.0240,0.0354,0.1799,0.0962,0.0723,0.0543,0.0688
2	0	mut21,mut22,mut23,mut24,mut25,mut26	M,P,P,P,P,P	cna_mut32,cna_mut99,cna_mut44,cna_mut7	(-1,0),(0,1),(1,0),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1307,0.0882,0.0818,0.0181,0.1278,0.0423,0.1375,0.0569,0.0225,0.1033,0.0836,0.1664,0.0254,0.0021,0.1367,0.0836,0.0428,0.1342,0.0641,0.0775,0.0792,0.0678,0.1025,0.1090,0.1392,0.1192,0.1084,0.1492,0.0625,0.0440,0.1121,0.0358,0.0574,0.0417,0.0396,0.0266,0.1600,0.1152,0.0298,0.0273,0.0662
3	2	mut27,mut28,mut29,mut30	P,P,P,M			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1249,0.0843,0.0111,0.0993,0.0689,0.1619,0.0660,0.0132,0.0251,0.0582,0.1004,0.1499,0.1615,0.1492,0.1093,0.1136,0.1146,0.1112,0.1439,0.1628,0.0412,0.1523,0.1493,0.0741,0.0630,0.0732,0.0743,0.0375,0.0927,0.0504,0.0361,0.0306,0.0788,0.1771,0.1445,0.1448,0.0942,0.0674,0.0154,0.1242,0.0646
4	1	mut31,mut32,mut33,mut34,mut35,mut36,mut37,mut38,mut39,mut40,mut41,mut42	P,M,M,M,M,P,P,P,P,M,M,P	cna_mut52,cna_mut20,cna_mut65	(0,1),(-1,0),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0156,0.1569,0.0229,0.0459,0.0511,0.1267,0.1203,0.0547,0.1363,0.1234,0.0017,0.0245,0.1731,0.1018,0.0459,0.1190,0.1312,0.0248,0.1169,0.0267,0.1117,0.2252,0.1478,0.1244,0.0198,0.1294,0.0894,0.1127,0.0750,0.2296,0.1339,0.1863,0.1599,0.0834,0.1407,0.0454,0.0036,0.1368,0.1974,0.0663,0.0064
5	3	mut43,mut44,mut45,mut46,mut47,mut48,mut49,mut50,mut51,mut52,mut53	P,P,M,P,P,M,P,P,M,M,M	cna_mut26,cna_mut3	(-1,0),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0476,0.1310,0.0161,0.1024,0.0063,0.0387,0.1425,0.0796,0.0292,0.0550,0.1457,0.0227,0.1574,0.1340,0.0260,0.0471,0.1085,0.1148,0.0465,0.0670,0.1400,0.0087,0.1646,0.1188,0.0163,0.0172,0.1667,0.0629,0.1796,0.1106,0.1449,0.0064,0.1496,0.0803,0.0525,0.1651,0.0679,0.0840,0.0725,0.1880,0.1821
6	2	mut54,mut55,mut56,mut57,mut58,mut59,mut60,mut61,mut62,mut63	M,M,M,P,P,P,M,M,P,M	cna_mut76,cna_mut28	(0,1),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0780,0.1480,0.1498,0.1322,0.1148,0.1197,0.0498,0.1074,0.1722,0.1324,0.1170,0.0764,0.1645,0.0776,0.0970,0.0490,0.1539,0.1290,0.1126,0.1443,0.1403,0.0181,0.0817,0.0389,0.0605,0.0991,0.0100,0.0975,0.1157,0.0928,0.1317,0.0839,0.0245,0.1032,0.0943,0.0623,0.0065,0.0935,0.1894,0.0061,0.0336
7	4	mut64,mut65,mut66,mut67,mut68,mut69,mut70,mut71,mut72,mut73	M,P,P,M,P,P,P,M,M,M	cna_mut47,cna_mut74	(-1,0),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1641,0.0491,0.1394,0.0460,0.1071,0.0573,0.1269,0.0640,0.1357,0.0747,0.0602,0.0625,0.1332,0.0378,0.0644,0.1101,0.0759,0.1265,0.0730,0.1390,0.0902,0.1781,0.0457,0.1412,0.1072,0.0736,0.0623,0.0730,0.0277,0.0197,0.0779,0.0844,0.0977,0.0011,0.1446,0.0046,0.0725,0.0357,0.0024,0.0142,0.0712
8	6	mut74,mut75,mut76,mut77,mut78,mut79,mut80,mut81,mut82,mut83,mut84,mut85	M,P,P,M,P,M,P,P,M,P,M,M	cna_mut93	(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1478,0.0594,0.1558,0.0992,0.0612,0.0912,0.0872,0.1222,0.0530,0.0787,0.0577,0.0333,0.0170,0.0848,0.1487,0.0167,0.0322,0.0565,0.1498,0.0565,0.0466,0.1077,0.1154,0.0572,0.0329,0.1135,0.1095,0.1433,0.0718,0.1365,0.0525,0.1070,0.0339,0.1152,0.1083,0.0748,0.0908,0.0860,0.0400,0.1965,0.1234
