NODE_ID	PARENT_ID	SNV_IDS	SNV_ALLELES	CNA_IDS	CNA_CHANGES	SAMPLE_IDS	SAMPLE_NODE_FREQUENCIES
ROOT	NONE					MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1114,0.0762,0.1193,0.0985,0.0453,0.0189,0.0377,0.1466,0.0276,0.0548,0.1915,0.0789,0.0363,0.1155,0.1200,0.1005,0.0947,0.0183,0.0644,0.0270,0.0414,0.0506,0.1777,0.1093,0.1072,0.0754,0.0867,0.1147,0.2228,0.1445,0.1013,0.0439,0.1278,0.1460,0.1153,0.0689,0.1527,0.0481,0.0954,0.1373,0.1469
0	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11	M,P,M,M,P,P,M,P,M,M,M,M	cna_mut63,cna_mut88,cna_mut62,cna_mut44	(0,1),(0,1),(0,-1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1593,0.1430,0.0038,0.0522,0.0353,0.0438,0.1026,0.0713,0.0363,0.1223,0.1083,0.1371,0.0669,0.0444,0.0536,0.0866,0.2168,0.1186,0.0698,0.0464,0.1020,0.1324,0.0160,0.0907,0.0895,0.0790,0.0164,0.1218,0.0172,0.0296,0.1271,0.0246,0.1485,0.0158,0.1426,0.0833,0.1555,0.1136,0.0225,0.0338,0.0996
1	0	mut12,mut13,mut14,mut15,mut16,mut17,mut18,mut19,mut20,mut21,mut22,mut23	M,P,M,M,M,P,P,M,P,M,P,P	cna_mut5	(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1712,0.1675,0.1242,0.0071,0.1233,0.0858,0.1205,0.1458,0.0808,0.0297,0.0853,0.0601,0.1489,0.0526,0.0752,0.1162,0.0326,0.0476,0.2414,0.0167,0.1614,0.1255,0.1040,0.1370,0.1270,0.0764,0.0720,0.0223,0.0333,0.1164,0.1650,0.0924,0.1428,0.1284,0.1490,0.0781,0.0163,0.1330,0.1264,0.0586,0.0489
2	1	mut24,mut25,mut26,mut27,mut28,mut29,mut30,mut31,mut32,mut33,mut34,mut35,mut36	M,M,M,M,P,M,M,M,M,M,P,P,M	cna_mut91,cna_mut95	(0,1),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0846,0.1094,0.1094,0.1770,0.0096,0.1001,0.0185,0.0525,0.1055,0.0762,0.0427,0.0936,0.0842,0.1785,0.1047,0.0937,0.0457,0.1471,0.0668,0.2386,0.0314,0.1266,0.1676,0.1115,0.0982,0.1072,0.1139,0.1404,0.0380,0.0612,0.0189,0.0694,0.1190,0.1765,0.0885,0.1116,0.1139,0.0983,0.1673,0.0085,0.0734
3	1	mut37,mut38,mut39,mut40,mut41	M,M,M,P,P	cna_mut70	(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0517,0.0543,0.1216,0.0344,0.0356,0.1272,0.1179,0.0864,0.1181,0.1614,0.1304,0.1307,0.0427,0.1410,0.1137,0.0865,0.0913,0.1599,0.1110,0.1314,0.0571,0.1489,0.0354,0.0255,0.1301,0.0317,0.0933,0.1253,0.1767,0.1063,0.1593,0.0690,0.0161,0.1089,0.1206,0.0725,0.0774,0.1504,0.0784,0.1623,0.2041
4	3	mut42,mut43,mut44,mut45,mut46,mut47,mut48,mut49,mut50,mut51,mut52	P,P,M,M,P,M,P,P,M,M,P	cna_mut69,cna_mut73,cna_mut3	(0,1),(0,1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0326,0.1228,0.1428,0.0236,0.1233,0.1050,0.1282,0.0279,0.1499,0.1287,0.1026,0.1048,0.0109,0.0490,0.0771,0.0777,0.0297,0.0587,0.0809,0.1267,0.0135,0.0429,0.0586,0.0526,0.0974,0.0275,0.1005,0.0680,0.1903,0.1094,0.0239,0.1054,0.0158,0.1065,0.0099,0.1373,0.0420,0.0991,0.1184,0.0710,0.1121
5	1	mut53,mut54,mut55,mut56,mut57,mut58,mut59	P,M,M,M,P,M,P	cna_mut94,cna_mut27,cna_mut29,cna_mut0	(0,-1),(-1,0),(0,1),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0998,0.0148,0.1136,0.0719,0.1348,0.1288,0.1505,0.0633,0.0110,0.1276,0.0894,0.0622,0.1489,0.1016,0.0980,0.0182,0.1167,0.1430,0.2088,0.0123,0.1663,0.0384,0.0379,0.0771,0.1191,0.1508,0.1171,0.1299,0.0152,0.0172,0.0933,0.0180,0.0709,0.1086,0.0697,0.0656,0.1590,0.0940,0.0138,0.1072,0.0252
6	5	mut60,mut61,mut62,mut63,mut64,mut65,mut66,mut67,mut68,mut69,mut70,mut71,mut72	P,P,M,P,P,M,M,M,M,P,P,M,M	cna_mut9,cna_mut15	(1,0),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1329,0.1529,0.0015,0.1786,0.1390,0.0980,0.0990,0.1326,0.1605,0.0876,0.1985,0.1161,0.1421,0.0442,0.0763,0.1250,0.0935,0.1317,0.0455,0.0871,0.0277,0.0746,0.0646,0.0007,0.0459,0.0410,0.1191,0.0503,0.0710,0.1037,0.1359,0.1603,0.1204,0.0944,0.0197,0.0104,0.0488,0.1880,0.2232,0.0470,0.2036
7	3	mut73,mut74,mut75,mut76,mut77,mut78	P,M,P,M,M,M	cna_mut38	(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0826,0.0710,0.0466,0.0695,0.1020,0.0487,0.0201,0.1095,0.1823,0.1531,0.0435,0.0770,0.1207,0.0716,0.1138,0.0751,0.0711,0.0229,0.0939,0.1849,0.1084,0.1119,0.0671,0.0883,0.0380,0.0037,0.0816,0.0726,0.0365,0.0673,0.0776,0.1898,0.1331,0.0364,0.1126,0.1370,0.1284,0.0108,0.0938,0.0117,0.0155
8	2	mut79,mut80,mut81,mut82,mut83,mut84,mut85,mut86,mut87	P,M,P,M,M,P,P,M,P			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0159,0.0560,0.1409,0.1855,0.1364,0.1223,0.0563,0.1460,0.1099,0.0020,0.0040,0.0994,0.1050,0.1611,0.0572,0.1144,0.1685,0.1368,0.0138,0.0729,0.1376,0.0482,0.0799,0.1568,0.0283,0.2282,0.1278,0.0185,0.0543,0.1515,0.0577,0.1165,0.0360,0.0390,0.1323,0.1659,0.0656,0.0425,0.0175,0.2353,0.0164
9	0	mut88,mut89,mut90,mut91,mut92,mut93,mut94,mut95,mut96,mut97,mut98,mut99	P,M,P,M,P,M,P,M,M,M,M,M	cna_mut80,cna_mut14	(1,0),(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0579,0.0320,0.0764,0.1016,0.1154,0.1215,0.1487,0.0182,0.0181,0.0566,0.0039,0.0400,0.0933,0.0406,0.1104,0.1061,0.0394,0.0155,0.0037,0.0559,0.1532,0.1000,0.1912,0.1504,0.1192,0.1791,0.0715,0.1362,0.1446,0.0929,0.0401,0.1105,0.0696,0.0394,0.0398,0.0692,0.0403,0.0222,0.0432,0.1273,0.0544
