NODE_ID	PARENT_ID	SNV_IDS	SNV_ALLELES	CNA_IDS	CNA_CHANGES	SAMPLE_IDS	SAMPLE_NODE_FREQUENCIES
ROOT	NONE					MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0883,0.1543,0.1306,0.0011,0.0203,0.0733,0.0733,0.1331,0.1215,0.0180,0.1053,0.0174,0.0301,0.1300,0.0726,0.0279,0.0712,0.0355,0.0396,0.0224,0.0426,0.0953,0.1377,0.0333,0.1125,0.0414,0.0318,0.0155,0.0896,0.0182,0.0596,0.0726,0.1723,0.0998,0.0595,0.0722,0.0712,0.0183,0.1132,0.1460,0.1204
0	ROOT	mut0,mut1,mut2,mut3,mut4,mut5,mut6,mut7,mut8,mut9,mut10,mut11	M,M,M,M,M,M,M,M,M,P,M,M	cna_mut62,cna_mut12	(-1,0),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0062,0.1382,0.0266,0.0335,0.1559,0.0668,0.0476,0.1773,0.0272,0.1642,0.0924,0.1619,0.1807,0.1614,0.1210,0.1737,0.0987,0.0628,0.0158,0.0074,0.1426,0.0693,0.1024,0.0500,0.0820,0.0730,0.1137,0.0101,0.1487,0.1662,0.0775,0.0680,0.1600,0.0843,0.1179,0.2252,0.1550,0.0601,0.1357,0.1588,0.0465
1	0	mut12,mut13,mut14,mut15,mut16,mut17,mut18,mut19,mut20,mut21,mut22,mut23	M,P,P,P,M,P,M,M,P,M,P,P	cna_mut9	(0,1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1047,0.0693,0.1386,0.0135,0.1382,0.1029,0.0177,0.1574,0.0638,0.0397,0.0593,0.0990,0.0693,0.0360,0.0972,0.1205,0.0305,0.0364,0.0032,0.1555,0.0390,0.1585,0.1020,0.0964,0.0543,0.1108,0.1283,0.0756,0.1057,0.0188,0.1120,0.0484,0.0412,0.0014,0.0258,0.0533,0.1504,0.0156,0.1492,0.1577,0.0343
2	0	mut24,mut25,mut26,mut27,mut28,mut29,mut30,mut31,mut32,mut33,mut34,mut35	P,M,P,M,P,P,M,P,M,M,P,M	cna_mut40,cna_mut70,cna_mut42	(1,0),(0,-1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1024,0.0368,0.1334,0.0107,0.0880,0.0766,0.1001,0.0256,0.1068,0.0004,0.0060,0.0202,0.0513,0.1637,0.0407,0.2230,0.1329,0.1231,0.0066,0.0414,0.0610,0.1652,0.0106,0.1461,0.1231,0.0291,0.1526,0.1378,0.1110,0.0997,0.1117,0.0389,0.0665,0.1708,0.1355,0.0066,0.0955,0.0202,0.0730,0.0793,0.1025
3	2	mut36,mut37,mut38,mut39,mut40,mut41,mut42,mut43,mut44,mut45,mut46,mut47,mut48	P,P,M,M,P,M,M,M,P,M,P,M,M	cna_mut66	(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0752,0.0097,0.1359,0.1391,0.1019,0.1201,0.1128,0.0230,0.0504,0.0511,0.1103,0.1491,0.0956,0.0282,0.0817,0.0778,0.2094,0.1265,0.0869,0.0323,0.1765,0.0646,0.1100,0.1334,0.0983,0.0043,0.1117,0.0557,0.1479,0.1350,0.0991,0.0303,0.0295,0.1688,0.0813,0.0153,0.0158,0.1122,0.0017,0.1047,0.0278
4	1	mut49,mut50,mut51,mut52,mut53,mut54,mut55,mut56,mut57	M,P,P,M,P,M,P,P,P	cna_mut60,cna_mut58,cna_mut11	(1,0),(0,-1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1834,0.1341,0.0973,0.1946,0.0265,0.1259,0.0999,0.1132,0.1188,0.0871,0.0389,0.1575,0.1617,0.0549,0.0359,0.0371,0.0793,0.1518,0.1201,0.0718,0.0612,0.0668,0.0100,0.1019,0.1455,0.1775,0.1178,0.0927,0.0747,0.0621,0.1497,0.0371,0.1115,0.0099,0.1158,0.2382,0.0671,0.1895,0.0093,0.1490,0.0420
5	1	mut58,mut59,mut60,mut61,mut62,mut63,mut64,mut65	M,P,P,M,P,P,P,P	cna_mut26,cna_mut39	(0,-1),(0,-1)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.1197,0.0452,0.0422,0.1373,0.1170,0.0319,0.1604,0.2415,0.0461,0.1125,0.0883,0.1590,0.1747,0.0952,0.1429,0.0139,0.0197,0.0304,0.1782,0.2175,0.1039,0.1548,0.0220,0.1174,0.1554,0.0363,0.0807,0.0691,0.1405,0.0190,0.0901,0.1489,0.0686,0.2073,0.1154,0.0379,0.1354,0.1559,0.0707,0.0536,0.1565
6	5	mut66,mut67,mut68,mut69,mut70,mut71,mut72,mut73	P,M,M,P,P,M,M,M	cna_mut3,cna_mut32,cna_mut28,cna_mut17	(1,0),(0,-1),(0,1),(1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0929,0.1657,0.0077,0.1746,0.0380,0.0562,0.1297,0.0079,0.0452,0.0495,0.1575,0.0153,0.0160,0.1391,0.0498,0.0301,0.0656,0.0960,0.1961,0.0352,0.0327,0.0198,0.1252,0.0947,0.0010,0.1789,0.1201,0.1593,0.0127,0.0281,0.0739,0.1972,0.0206,0.0211,0.0919,0.0801,0.0614,0.1537,0.0959,0.1038,0.1656
7	2	mut74,mut75,mut76,mut77,mut78,mut79,mut80,mut81	P,P,M,M,M,M,M,P			MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0220,0.0565,0.0926,0.0655,0.0667,0.0074,0.0859,0.0513,0.1713,0.0773,0.0706,0.1513,0.0653,0.0385,0.1242,0.0327,0.0918,0.1503,0.1678,0.0684,0.1578,0.0464,0.1225,0.1005,0.0372,0.1944,0.0509,0.1603,0.0145,0.1584,0.1655,0.0112,0.1299,0.1534,0.0892,0.1839,0.1250,0.0720,0.1246,0.0278,0.0868
8	2	mut82,mut83,mut84,mut85,mut86,mut87,mut88,mut89,mut90,mut91	M,M,M,M,M,P,P,M,P,P	cna_mut59,cna_mut96	(1,0),(-1,0)	MASTER_SAMPLE,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39	0.0198,0.1627,0.0713,0.0944,0.1363,0.1705,0.1400,0.0198,0.1522,0.1888,0.1269,0.0014,0.0895,0.0164,0.1446,0.1383,0.0312,0.1062,0.0626,0.1727,0.0809,0.1391,0.1152,0.0122,0.1572,0.1149,0.0334,0.0534,0.1037,0.2353,0.0018,0.2187,0.0591,0.0330,0.0287,0.0658,0.0191,0.0711,0.1355,0.0091,0.1474
